trial_id,fractal_left,fractal_right,cue_switched,fractal_advantage,outcome_left_probability,outcome_right_probability,jitter1_time,jitter2_time,explicit_prediction_question
1,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,19,78,2.4,2.4,1
2,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,47,73,1.8,1.7,0
3,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,21,82,2.2,2.1,0
4,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,24,73,2.3,2.5,1
5,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,22,71,1.9,2.0,1
6,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,47,50,2.3,2.5,1
7,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,22,23,1.6,2.1,0
8,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,49,27,1.9,1.6,1
9,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,37,65,2.3,1.7,0
10,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,25,27,2.1,2.4,0
11,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,12,69,1.7,2.2,0
12,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,46,74,2.4,2.1,1
13,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,29,80,2.3,1.8,1
14,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,22,24,1.5,2.3,0
15,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,71,32,2.4,2.0,0
16,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,47,26,2.1,1.7,0
17,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,24,22,2.4,2.3,0
18,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,72,81,1.7,2.4,1
19,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,25,52,1.5,1.7,0
20,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,20,14,1.5,1.6,0
21,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,26,73,2.1,1.7,0
22,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,74,32,1.6,2.3,0
23,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,72,28,2.1,2.3,0
24,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,71,55,1.9,1.6,1
25,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,75,20,1.8,2.3,0
26,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,54,20,1.8,1.7,0
27,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,78,25,2.3,1.5,0
28,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,33,74,2.2,2.4,0
29,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,82,28,2.0,2.3,1
30,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,79,23,2.1,2.4,0
31,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,76,53,2.1,2.5,0
32,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,69,83,2.2,1.7,0
33,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,27,48,1.8,2.0,0
34,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,26,54,2.4,1.9,0
35,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,25,68,1.7,1.5,0
36,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,26,28,2.4,2.0,1
37,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,28,51,1.9,2.2,0
38,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,22,67,2.1,1.6,0
39,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,81,29,2.2,2.4,0
40,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,72,79,1.8,1.7,1
41,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,77,56,2.1,1.8,0
42,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,53,24,2.2,2.3,0
43,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,68,41,2.1,1.8,0
44,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,26,77,1.6,2.4,0
45,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,65,17,2.2,2.1,1
46,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,47,67,1.8,1.7,1
47,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,32,80,2.0,2.4,0
48,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,80,21,2.3,1.9,0
49,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,20,72,1.7,1.5,1
50,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,68,35,2.1,1.9,0
51,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,27,27,2.4,1.9,0
52,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,26,44,2.1,1.7,0
53,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,25,24,2.2,1.9,0
54,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,47,78,2.0,2.0,0
55,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,43,80,1.8,2.2,0
56,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,29,22,1.6,1.8,0
57,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,30,29,1.9,1.8,0
58,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,53,53,2.1,2.0,1
59,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,16,75,2.3,1.7,0
60,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,16,75,2.0,2.0,1
61,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,73,24,2.4,2.3,0
62,fractals/6.jpg,fractals/7.jpg,0,fractals/6.jpg,49,31,1.7,2.2,1
63,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,33,75,1.6,2.2,1
64,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,29,79,2.0,2.0,0
65,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,28,76,2.1,1.9,0
66,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,23,61,1.7,1.7,1
67,fractals/7.jpg,fractals/6.jpg,0,fractals/6.jpg,24,84,1.6,2.4,0
68,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,82,24,1.8,2.2,0
69,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,81,46,1.7,2.2,1
70,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,76,55,2.1,2.4,0
71,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,51,53,1.5,2.5,0
72,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,31,72,2.0,1.7,1
73,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,24,94,2.4,2.3,0
74,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,54,76,2.4,2.2,0
75,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,61,84,1.6,2.0,1
76,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,46,14,2.1,1.9,0
77,fractals/7.jpg,fractals/6.jpg,1,fractals/7.jpg,76,28,2.1,2.3,1
78,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,47,52,1.7,2.0,0
79,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,59,52,2.1,2.1,0
80,fractals/6.jpg,fractals/7.jpg,1,fractals/7.jpg,27,20,2.0,2.3,0
